100D	1.9	X-RAY DIFFRACTION
101D	2.25	X-RAY DIFFRACTION
102D	2.2	X-RAY DIFFRACTION
103D	\N	SOLUTION NMR
104D	\N	SOLUTION NMR
105D	\N	SOLUTION NMR
106D	\N	SOLUTION NMR
107D	\N	SOLUTION NMR
108D	\N	SOLUTION NMR
109D	2.0	X-RAY DIFFRACTION
10MH	2.55	X-RAY DIFFRACTION
110D	1.9	X-RAY DIFFRACTION
111D	2.25	X-RAY DIFFRACTION
112D	2.5	X-RAY DIFFRACTION
113D	2.5	X-RAY DIFFRACTION
114D	2.5	X-RAY DIFFRACTION
115D	1.7	X-RAY DIFFRACTION
116D	2.5	X-RAY DIFFRACTION
117D	2.55	X-RAY DIFFRACTION
118D	1.64	X-RAY DIFFRACTION
119D	2.25	X-RAY DIFFRACTION
121D	2.2	X-RAY DIFFRACTION
122D	1.7	X-RAY DIFFRACTION
123D	1.7	X-RAY DIFFRACTION
124D	\N	SOLUTION NMR
126D	2.0	X-RAY DIFFRACTION
127D	2.0	X-RAY DIFFRACTION
128D	2.5	X-RAY DIFFRACTION
129D	2.25	X-RAY DIFFRACTION
130D	2.5	X-RAY DIFFRACTION
131D	1.0	X-RAY DIFFRACTION
132D	\N	SOLUTION NMR
133D	1.8	X-RAY DIFFRACTION
134D	\N	SOLUTION NMR
135D	\N	SOLUTION NMR
136D	\N	SOLUTION NMR
137D	1.7	X-RAY DIFFRACTION
138D	1.8	X-RAY DIFFRACTION
139D	\N	SOLUTION NMR
140D	\N	SOLUTION NMR
141D	\N	SOLUTION NMR
142D	\N	SOLUTION NMR
143D	\N	SOLUTION NMR
144D	2.25	X-RAY DIFFRACTION
145D	1.25	X-RAY DIFFRACTION
146D	\N	SOLUTION NMR
148D	\N	SOLUTION NMR
149D	\N	SOLUTION NMR
150D	2.25	X-RAY DIFFRACTION
151D	1.4	X-RAY DIFFRACTION
152D	1.4	X-RAY DIFFRACTION
153D	2.9	X-RAY DIFFRACTION
154D	2.5	X-RAY DIFFRACTION
156D	\N	SOLUTION NMR
157D	1.8	X-RAY DIFFRACTION
158D	1.9	X-RAY DIFFRACTION
159D	1.8	X-RAY DIFFRACTION
160D	1.65	X-RAY DIFFRACTION
161D	1.9	X-RAY DIFFRACTION
165D	1.55	X-RAY DIFFRACTION
166D	2.2	X-RAY DIFFRACTION
167D	2.3	X-RAY DIFFRACTION
168D	2.0	X-RAY DIFFRACTION
169D	\N	SOLUTION NMR
170D	\N	SOLUTION NMR
171D	\N	SOLUTION NMR
172D	3.0	X-RAY DIFFRACTION
173D	3.0	X-RAY DIFFRACTION
175D	\N	SOLUTION NMR
176D	\N	SOLUTION NMR
177D	\N	SOLUTION NMR
178D	2.5	X-RAY DIFFRACTION
179D	\N	SOLUTION NMR
17RA	\N	SOLUTION NMR
180D	2.5	X-RAY DIFFRACTION
